CONFIG : images : 100000, stage : 3, block : 1, dimension : 3560, top_k :50
rank0: similarity : 0.8713485598564148, dataset_idx : 61822, path_idx : 4286
rank1: similarity : 0.6607767343521118, dataset_idx : 4160, path_idx : 1947
rank2: similarity : 0.5893470048904419, dataset_idx : 14143, path_idx : 3020
rank3: similarity : 0.41106298565864563, dataset_idx : 3508, path_idx : 2376
rank4: similarity : 0.3299945592880249, dataset_idx : 26150, path_idx : 4003
rank5: similarity : 0.2892836034297943, dataset_idx : 55179, path_idx : 1587
rank6: similarity : 0.27198687195777893, dataset_idx : 3361, path_idx : 3960
rank7: similarity : 0.25985440611839294, dataset_idx : 31590, path_idx : 2079
rank8: similarity : 0.22874301671981812, dataset_idx : 45994, path_idx : 2262
rank9: similarity : 0.21554194390773773, dataset_idx : 1935, path_idx : 2974
rank10: similarity : 0.17744550108909607, dataset_idx : 50763, path_idx : 3511
rank11: similarity : 0.1743907779455185, dataset_idx : 35697, path_idx : 3680
rank12: similarity : 0.17363367974758148, dataset_idx : 52, path_idx : 2531
rank13: similarity : 0.17342419922351837, dataset_idx : 47009, path_idx : 3328
rank14: similarity : 0.16062408685684204, dataset_idx : 61822, path_idx : 4285
rank15: similarity : 0.15443412959575653, dataset_idx : 31590, path_idx : 2019
rank16: similarity : 0.15123815834522247, dataset_idx : 95498, path_idx : 2962
rank17: similarity : 0.1508549451828003, dataset_idx : 30969, path_idx : 3305
rank18: similarity : 0.14887522161006927, dataset_idx : 1935, path_idx : 3035
rank19: similarity : 0.14651069045066833, dataset_idx : 50234, path_idx : 1362
rank20: similarity : 0.1427660584449768, dataset_idx : 61739, path_idx : 3256
rank21: similarity : 0.14216569066047668, dataset_idx : 62879, path_idx : 3751
rank22: similarity : 0.13986435532569885, dataset_idx : 67488, path_idx : 3523
rank23: similarity : 0.13832414150238037, dataset_idx : 50299, path_idx : 2780
rank24: similarity : 0.13207446038722992, dataset_idx : 55220, path_idx : 2837
rank25: similarity : 0.1306561976671219, dataset_idx : 20173, path_idx : 2420
rank26: similarity : 0.11926262825727463, dataset_idx : 32182, path_idx : 2652
rank27: similarity : 0.114764004945755, dataset_idx : 9861, path_idx : 2502
rank28: similarity : 0.10820382088422775, dataset_idx : 72048, path_idx : 940
rank29: similarity : 0.10592012107372284, dataset_idx : 17684, path_idx : 1372
rank30: similarity : 0.10517793148756027, dataset_idx : 66390, path_idx : 2905
rank31: similarity : 0.10441150516271591, dataset_idx : 87296, path_idx : 3156
rank32: similarity : 0.10390149801969528, dataset_idx : 47059, path_idx : 3030
rank33: similarity : 0.09999198466539383, dataset_idx : 99852, path_idx : 3222
rank34: similarity : 0.09515315294265747, dataset_idx : 10032, path_idx : 2801
rank35: similarity : 0.0919996052980423, dataset_idx : 56129, path_idx : 2055
rank36: similarity : 0.08984831720590591, dataset_idx : 91741, path_idx : 3550
rank37: similarity : 0.0857400968670845, dataset_idx : 29365, path_idx : 998
rank38: similarity : 0.0832139179110527, dataset_idx : 41840, path_idx : 1228
rank39: similarity : 0.08162534981966019, dataset_idx : 40421, path_idx : 2776
rank40: similarity : 0.07954218238592148, dataset_idx : 83436, path_idx : 1899
rank41: similarity : 0.0791935846209526, dataset_idx : 88193, path_idx : 3104
rank42: similarity : 0.07885589450597763, dataset_idx : 24171, path_idx : 1046
rank43: similarity : 0.07881023734807968, dataset_idx : 92111, path_idx : 3456
rank44: similarity : 0.07819835096597672, dataset_idx : 19995, path_idx : 567
rank45: similarity : 0.07693103700876236, dataset_idx : 52001, path_idx : 2196
rank46: similarity : 0.0767906978726387, dataset_idx : 49906, path_idx : 4114
rank47: similarity : 0.07216854393482208, dataset_idx : 1935, path_idx : 3034
rank48: similarity : 0.06940828263759613, dataset_idx : 83436, path_idx : 2077
rank49: similarity : 0.06588529795408249, dataset_idx : 56217, path_idx : 1506
