CONFIG : images : 1000, stage : 2, block : 0, dimension : 1637, top_k :50
rank0: similarity : 0.9699483513832092, dataset_idx : 608, path_idx : 10364
rank1: similarity : 0.7989590167999268, dataset_idx : 13, path_idx : 12801
rank2: similarity : 0.7396427392959595, dataset_idx : 884, path_idx : 11217
rank3: similarity : 0.7095808386802673, dataset_idx : 957, path_idx : 2387
rank4: similarity : 0.685696005821228, dataset_idx : 125, path_idx : 11386
rank5: similarity : 0.6678441762924194, dataset_idx : 690, path_idx : 4726
rank6: similarity : 0.6641924381256104, dataset_idx : 709, path_idx : 14486
rank7: similarity : 0.662604033946991, dataset_idx : 335, path_idx : 7033
rank8: similarity : 0.6619206666946411, dataset_idx : 821, path_idx : 5343
rank9: similarity : 0.6442734599113464, dataset_idx : 745, path_idx : 13289
rank10: similarity : 0.6397706866264343, dataset_idx : 368, path_idx : 11814
rank11: similarity : 0.6364402770996094, dataset_idx : 106, path_idx : 2194
rank12: similarity : 0.5993220210075378, dataset_idx : 208, path_idx : 5714
rank13: similarity : 0.5942273736000061, dataset_idx : 238, path_idx : 4839
rank14: similarity : 0.5902447700500488, dataset_idx : 513, path_idx : 14706
rank15: similarity : 0.5890921950340271, dataset_idx : 989, path_idx : 8624
rank16: similarity : 0.5850663185119629, dataset_idx : 608, path_idx : 14466
rank17: similarity : 0.5811151266098022, dataset_idx : 690, path_idx : 12184
rank18: similarity : 0.5790629982948303, dataset_idx : 106, path_idx : 3401
rank19: similarity : 0.5755963921546936, dataset_idx : 930, path_idx : 2469
rank20: similarity : 0.5750353336334229, dataset_idx : 216, path_idx : 15511
rank21: similarity : 0.5748322010040283, dataset_idx : 112, path_idx : 16767
rank22: similarity : 0.5744208097457886, dataset_idx : 701, path_idx : 14214
rank23: similarity : 0.57188481092453, dataset_idx : 380, path_idx : 9728
rank24: similarity : 0.5696450471878052, dataset_idx : 179, path_idx : 7157
rank25: similarity : 0.5667665600776672, dataset_idx : 644, path_idx : 11233
rank26: similarity : 0.566265881061554, dataset_idx : 821, path_idx : 6378
rank27: similarity : 0.5644282698631287, dataset_idx : 550, path_idx : 12084
rank28: similarity : 0.5632123947143555, dataset_idx : 557, path_idx : 14386
rank29: similarity : 0.5595175623893738, dataset_idx : 745, path_idx : 10459
rank30: similarity : 0.5530328154563904, dataset_idx : 699, path_idx : 5667
rank31: similarity : 0.5461921095848083, dataset_idx : 557, path_idx : 14866
rank32: similarity : 0.5457906126976013, dataset_idx : 87, path_idx : 6762
rank33: similarity : 0.5453087687492371, dataset_idx : 466, path_idx : 12559
rank34: similarity : 0.5446910858154297, dataset_idx : 550, path_idx : 7727
rank35: similarity : 0.5445288419723511, dataset_idx : 373, path_idx : 16385
rank36: similarity : 0.5435373783111572, dataset_idx : 602, path_idx : 2964
rank37: similarity : 0.5407932996749878, dataset_idx : 125, path_idx : 13051
rank38: similarity : 0.5391232967376709, dataset_idx : 466, path_idx : 16184
rank39: similarity : 0.538391649723053, dataset_idx : 494, path_idx : 10881
rank40: similarity : 0.5367524027824402, dataset_idx : 821, path_idx : 6095
rank41: similarity : 0.531920313835144, dataset_idx : 291, path_idx : 5474
rank42: similarity : 0.5239414572715759, dataset_idx : 699, path_idx : 7357
rank43: similarity : 0.5237210988998413, dataset_idx : 745, path_idx : 10133
rank44: similarity : 0.5199308395385742, dataset_idx : 746, path_idx : 13858
rank45: similarity : 0.5179951786994934, dataset_idx : 238, path_idx : 14743
rank46: similarity : 0.5164048075675964, dataset_idx : 431, path_idx : 9096
rank47: similarity : 0.5158739686012268, dataset_idx : 930, path_idx : 2779
rank48: similarity : 0.5150462985038757, dataset_idx : 90, path_idx : 14121
rank49: similarity : 0.5132085084915161, dataset_idx : 293, path_idx : 2840
