CONFIG : images : 100000, stage : 3, block : 1, dimension : 1188, top_k :50
rank0: similarity : 1.3731005191802979, dataset_idx : 87378, path_idx : 2714
rank1: similarity : 1.3614060878753662, dataset_idx : 9890, path_idx : 1598
rank2: similarity : 1.2161794900894165, dataset_idx : 43962, path_idx : 4037
rank3: similarity : 1.2153737545013428, dataset_idx : 53061, path_idx : 2565
rank4: similarity : 1.1701066493988037, dataset_idx : 75472, path_idx : 2172
rank5: similarity : 1.1673959493637085, dataset_idx : 83798, path_idx : 1639
rank6: similarity : 1.160492181777954, dataset_idx : 68238, path_idx : 4103
rank7: similarity : 1.1429197788238525, dataset_idx : 20010, path_idx : 2549
rank8: similarity : 1.1321874856948853, dataset_idx : 87918, path_idx : 1049
rank9: similarity : 1.1200133562088013, dataset_idx : 79542, path_idx : 2477
rank10: similarity : 1.1195127964019775, dataset_idx : 83798, path_idx : 1640
rank11: similarity : 1.0932482481002808, dataset_idx : 50450, path_idx : 3390
rank12: similarity : 1.082882285118103, dataset_idx : 99999, path_idx : 4222
rank13: similarity : 1.0774188041687012, dataset_idx : 96702, path_idx : 2468
rank14: similarity : 1.0672578811645508, dataset_idx : 12014, path_idx : 2617
rank15: similarity : 1.06180739402771, dataset_idx : 68235, path_idx : 3385
rank16: similarity : 1.0616530179977417, dataset_idx : 87918, path_idx : 1048
rank17: similarity : 1.0268762111663818, dataset_idx : 76185, path_idx : 2542
rank18: similarity : 1.0252940654754639, dataset_idx : 16144, path_idx : 1340
rank19: similarity : 1.0236738920211792, dataset_idx : 62608, path_idx : 2053
rank20: similarity : 1.019423246383667, dataset_idx : 47975, path_idx : 3929
rank21: similarity : 1.0135829448699951, dataset_idx : 96702, path_idx : 2467
rank22: similarity : 1.0099163055419922, dataset_idx : 56255, path_idx : 3858
rank23: similarity : 1.0034387111663818, dataset_idx : 39782, path_idx : 2923
rank24: similarity : 0.977506697177887, dataset_idx : 8318, path_idx : 3133
rank25: similarity : 0.9714387655258179, dataset_idx : 64145, path_idx : 1358
rank26: similarity : 0.9695013761520386, dataset_idx : 50450, path_idx : 3449
rank27: similarity : 0.9628716111183167, dataset_idx : 94880, path_idx : 1633
rank28: similarity : 0.9596967101097107, dataset_idx : 10405, path_idx : 3550
rank29: similarity : 0.9456017017364502, dataset_idx : 47975, path_idx : 3989
rank30: similarity : 0.9433808326721191, dataset_idx : 32462, path_idx : 864
rank31: similarity : 0.9412021040916443, dataset_idx : 8119, path_idx : 1398
rank32: similarity : 0.9401494860649109, dataset_idx : 88344, path_idx : 1519
rank33: similarity : 0.9358218312263489, dataset_idx : 79245, path_idx : 2611
rank34: similarity : 0.934829831123352, dataset_idx : 34939, path_idx : 807
rank35: similarity : 0.9248778820037842, dataset_idx : 79542, path_idx : 2359
rank36: similarity : 0.9172651171684265, dataset_idx : 56255, path_idx : 3799
rank37: similarity : 0.9160650372505188, dataset_idx : 87378, path_idx : 2715
rank38: similarity : 0.8982346653938293, dataset_idx : 32036, path_idx : 3202
rank39: similarity : 0.8961074352264404, dataset_idx : 34939, path_idx : 806
rank40: similarity : 0.8958858847618103, dataset_idx : 32036, path_idx : 3201
rank41: similarity : 0.8787329196929932, dataset_idx : 87378, path_idx : 2773
rank42: similarity : 0.8719969987869263, dataset_idx : 2712, path_idx : 1464
rank43: similarity : 0.8676412105560303, dataset_idx : 30601, path_idx : 2655
rank44: similarity : 0.8645514249801636, dataset_idx : 46788, path_idx : 3094
rank45: similarity : 0.851360559463501, dataset_idx : 51029, path_idx : 1867
rank46: similarity : 0.8512185215950012, dataset_idx : 20010, path_idx : 2490
rank47: similarity : 0.8494179248809814, dataset_idx : 47975, path_idx : 3988
rank48: similarity : 0.8457668423652649, dataset_idx : 64523, path_idx : 2597
rank49: similarity : 0.8450922966003418, dataset_idx : 56338, path_idx : 2483
