CONFIG : images : 1000, stage : 0, block : 1, dimension : 358, top_k :50
rank0: similarity : 1.6079449653625488, dataset_idx : 555, path_idx : 235516
rank1: similarity : 1.6075944900512695, dataset_idx : 555, path_idx : 218800
rank2: similarity : 1.606459379196167, dataset_idx : 849, path_idx : 244363
rank3: similarity : 1.6055939197540283, dataset_idx : 555, path_idx : 275360
rank4: similarity : 1.6050426959991455, dataset_idx : 118, path_idx : 253975
rank5: similarity : 1.604076862335205, dataset_idx : 576, path_idx : 145990
rank6: similarity : 1.6021944284439087, dataset_idx : 555, path_idx : 219061
rank7: similarity : 1.5998433828353882, dataset_idx : 929, path_idx : 117660
rank8: similarity : 1.5998046398162842, dataset_idx : 669, path_idx : 52537
rank9: similarity : 1.59676194190979, dataset_idx : 118, path_idx : 231900
rank10: similarity : 1.596738338470459, dataset_idx : 97, path_idx : 34093
rank11: similarity : 1.5967185497283936, dataset_idx : 97, path_idx : 34264
rank12: similarity : 1.596099853515625, dataset_idx : 849, path_idx : 256843
rank13: similarity : 1.5958061218261719, dataset_idx : 97, path_idx : 34296
rank14: similarity : 1.5952153205871582, dataset_idx : 97, path_idx : 34095
rank15: similarity : 1.595081090927124, dataset_idx : 97, path_idx : 34097
rank16: similarity : 1.5939342975616455, dataset_idx : 118, path_idx : 183441
rank17: similarity : 1.5936164855957031, dataset_idx : 97, path_idx : 34262
rank18: similarity : 1.5935959815979004, dataset_idx : 97, path_idx : 34094
rank19: similarity : 1.5925657749176025, dataset_idx : 452, path_idx : 274973
rank20: similarity : 1.592543601989746, dataset_idx : 97, path_idx : 34263
rank21: similarity : 1.5925229787826538, dataset_idx : 97, path_idx : 34128
rank22: similarity : 1.5923203229904175, dataset_idx : 97, path_idx : 34098
rank23: similarity : 1.5919489860534668, dataset_idx : 555, path_idx : 273191
rank24: similarity : 1.5919134616851807, dataset_idx : 555, path_idx : 273192
rank25: similarity : 1.5918452739715576, dataset_idx : 97, path_idx : 34127
rank26: similarity : 1.5918221473693848, dataset_idx : 97, path_idx : 34101
rank27: similarity : 1.5915017127990723, dataset_idx : 992, path_idx : 32447
rank28: similarity : 1.591386318206787, dataset_idx : 218, path_idx : 427
rank29: similarity : 1.5912988185882568, dataset_idx : 97, path_idx : 34265
rank30: similarity : 1.5908607244491577, dataset_idx : 97, path_idx : 34414
rank31: similarity : 1.5904390811920166, dataset_idx : 555, path_idx : 300703
rank32: similarity : 1.58992338180542, dataset_idx : 97, path_idx : 34096
rank33: similarity : 1.5896097421646118, dataset_idx : 118, path_idx : 264567
rank34: similarity : 1.5894981622695923, dataset_idx : 97, path_idx : 34416
rank35: similarity : 1.5887441635131836, dataset_idx : 97, path_idx : 34099
rank36: similarity : 1.5884981155395508, dataset_idx : 992, path_idx : 32436
rank37: similarity : 1.5884881019592285, dataset_idx : 594, path_idx : 274557
rank38: similarity : 1.5882530212402344, dataset_idx : 555, path_idx : 258119
rank39: similarity : 1.5879765748977661, dataset_idx : 763, path_idx : 261883
rank40: similarity : 1.5876610279083252, dataset_idx : 582, path_idx : 116127
rank41: similarity : 1.5875297784805298, dataset_idx : 118, path_idx : 233406
rank42: similarity : 1.5874898433685303, dataset_idx : 742, path_idx : 25683
rank43: similarity : 1.5874769687652588, dataset_idx : 254, path_idx : 289744
rank44: similarity : 1.5873908996582031, dataset_idx : 97, path_idx : 34466
rank45: similarity : 1.5873290300369263, dataset_idx : 555, path_idx : 220723
rank46: similarity : 1.5871772766113281, dataset_idx : 97, path_idx : 34126
rank47: similarity : 1.586881160736084, dataset_idx : 97, path_idx : 34266
rank48: similarity : 1.5865355730056763, dataset_idx : 97, path_idx : 34268
rank49: similarity : 1.5862722396850586, dataset_idx : 97, path_idx : 34267
