CONFIG : images : 1000, stage : 2, block : 0, dimension : 1076, top_k :50
rank0: similarity : 2.445888042449951, dataset_idx : 179, path_idx : 5908
rank1: similarity : 2.373584747314453, dataset_idx : 974, path_idx : 10512
rank2: similarity : 2.3297746181488037, dataset_idx : 591, path_idx : 2082
rank3: similarity : 2.3033156394958496, dataset_idx : 514, path_idx : 17072
rank4: similarity : 2.240555763244629, dataset_idx : 974, path_idx : 11085
rank5: similarity : 2.194650173187256, dataset_idx : 597, path_idx : 2571
rank6: similarity : 2.176722526550293, dataset_idx : 56, path_idx : 2730
rank7: similarity : 2.1547064781188965, dataset_idx : 162, path_idx : 10151
rank8: similarity : 2.1514763832092285, dataset_idx : 574, path_idx : 11108
rank9: similarity : 2.1404154300689697, dataset_idx : 464, path_idx : 11556
rank10: similarity : 2.1286282539367676, dataset_idx : 122, path_idx : 10267
rank11: similarity : 2.07987380027771, dataset_idx : 514, path_idx : 14247
rank12: similarity : 2.0775463581085205, dataset_idx : 56, path_idx : 2863
rank13: similarity : 2.05456280708313, dataset_idx : 896, path_idx : 5330
rank14: similarity : 2.0510590076446533, dataset_idx : 84, path_idx : 2096
rank15: similarity : 2.0496203899383545, dataset_idx : 519, path_idx : 13498
rank16: similarity : 2.0478601455688477, dataset_idx : 419, path_idx : 12927
rank17: similarity : 2.0394084453582764, dataset_idx : 854, path_idx : 10178
rank18: similarity : 2.034532308578491, dataset_idx : 419, path_idx : 5962
rank19: similarity : 2.022045373916626, dataset_idx : 227, path_idx : 12569
rank20: similarity : 2.0083529949188232, dataset_idx : 107, path_idx : 12306
rank21: similarity : 1.9639849662780762, dataset_idx : 20, path_idx : 6415
rank22: similarity : 1.958797812461853, dataset_idx : 216, path_idx : 11941
rank23: similarity : 1.955204963684082, dataset_idx : 877, path_idx : 15554
rank24: similarity : 1.955091953277588, dataset_idx : 450, path_idx : 9337
rank25: similarity : 1.951275110244751, dataset_idx : 645, path_idx : 11839
rank26: similarity : 1.945960283279419, dataset_idx : 266, path_idx : 7725
rank27: similarity : 1.9422799348831177, dataset_idx : 587, path_idx : 3811
rank28: similarity : 1.9392004013061523, dataset_idx : 775, path_idx : 12995
rank29: similarity : 1.9388463497161865, dataset_idx : 498, path_idx : 2604
rank30: similarity : 1.9291404485702515, dataset_idx : 932, path_idx : 13148
rank31: similarity : 1.9256144762039185, dataset_idx : 56, path_idx : 2944
rank32: similarity : 1.9148046970367432, dataset_idx : 483, path_idx : 5367
rank33: similarity : 1.9136947393417358, dataset_idx : 539, path_idx : 16128
rank34: similarity : 1.9099395275115967, dataset_idx : 407, path_idx : 2582
rank35: similarity : 1.9053311347961426, dataset_idx : 228, path_idx : 4470
rank36: similarity : 1.8940420150756836, dataset_idx : 952, path_idx : 9674
rank37: similarity : 1.891258716583252, dataset_idx : 53, path_idx : 8987
rank38: similarity : 1.8885678052902222, dataset_idx : 133, path_idx : 15902
rank39: similarity : 1.8835806846618652, dataset_idx : 461, path_idx : 7719
rank40: similarity : 1.8825314044952393, dataset_idx : 201, path_idx : 10855
rank41: similarity : 1.8783650398254395, dataset_idx : 903, path_idx : 5103
rank42: similarity : 1.8747730255126953, dataset_idx : 570, path_idx : 18542
rank43: similarity : 1.8725124597549438, dataset_idx : 450, path_idx : 13227
rank44: similarity : 1.872162103652954, dataset_idx : 539, path_idx : 12540
rank45: similarity : 1.8662141561508179, dataset_idx : 737, path_idx : 9673
rank46: similarity : 1.8652234077453613, dataset_idx : 144, path_idx : 9408
rank47: similarity : 1.8648414611816406, dataset_idx : 896, path_idx : 8914
rank48: similarity : 1.8628085851669312, dataset_idx : 748, path_idx : 12084
rank49: similarity : 1.8616364002227783, dataset_idx : 922, path_idx : 6212
