CONFIG : images : 5000, stage : 1, block : 0, dimension : 163, top_k :50
rank0: similarity : 1.3976274728775024, dataset_idx : 3770, path_idx : 52423
rank1: similarity : 1.0841646194458008, dataset_idx : 4223, path_idx : 28654
rank2: similarity : 1.063321590423584, dataset_idx : 3563, path_idx : 61837
rank3: similarity : 1.0546529293060303, dataset_idx : 61, path_idx : 25740
rank4: similarity : 1.0090984106063843, dataset_idx : 3817, path_idx : 35867
rank5: similarity : 0.9787639379501343, dataset_idx : 4106, path_idx : 23430
rank6: similarity : 0.977680504322052, dataset_idx : 4223, path_idx : 25035
rank7: similarity : 0.9748345613479614, dataset_idx : 1330, path_idx : 24799
rank8: similarity : 0.9637065529823303, dataset_idx : 3770, path_idx : 52182
rank9: similarity : 0.9431633949279785, dataset_idx : 1330, path_idx : 18089
rank10: similarity : 0.9372296333312988, dataset_idx : 56, path_idx : 24143
rank11: similarity : 0.9245567321777344, dataset_idx : 4288, path_idx : 10257
rank12: similarity : 0.9070881605148315, dataset_idx : 4604, path_idx : 62012
rank13: similarity : 0.8884274959564209, dataset_idx : 1589, path_idx : 24552
rank14: similarity : 0.8733643293380737, dataset_idx : 3770, path_idx : 47157
rank15: similarity : 0.8703099489212036, dataset_idx : 3903, path_idx : 39657
rank16: similarity : 0.8693738579750061, dataset_idx : 3069, path_idx : 54574
rank17: similarity : 0.8674338459968567, dataset_idx : 2567, path_idx : 15914
rank18: similarity : 0.8666710257530212, dataset_idx : 4288, path_idx : 11692
rank19: similarity : 0.8560364842414856, dataset_idx : 1754, path_idx : 54560
rank20: similarity : 0.854299783706665, dataset_idx : 131, path_idx : 14247
rank21: similarity : 0.8441398739814758, dataset_idx : 2567, path_idx : 19778
rank22: similarity : 0.8440719246864319, dataset_idx : 4274, path_idx : 57039
rank23: similarity : 0.8427743315696716, dataset_idx : 3770, path_idx : 48334
rank24: similarity : 0.8417872190475464, dataset_idx : 4118, path_idx : 63307
rank25: similarity : 0.8352653384208679, dataset_idx : 2991, path_idx : 46232
rank26: similarity : 0.8316285014152527, dataset_idx : 131, path_idx : 13763
rank27: similarity : 0.8257703185081482, dataset_idx : 1039, path_idx : 19806
rank28: similarity : 0.8253941535949707, dataset_idx : 325, path_idx : 55747
rank29: similarity : 0.8168372511863708, dataset_idx : 4223, path_idx : 22458
rank30: similarity : 0.8106967806816101, dataset_idx : 61, path_idx : 28640
rank31: similarity : 0.8093637228012085, dataset_idx : 1330, path_idx : 27702
rank32: similarity : 0.7992347478866577, dataset_idx : 1418, path_idx : 55778
rank33: similarity : 0.7969362139701843, dataset_idx : 1030, path_idx : 8990
rank34: similarity : 0.7965299487113953, dataset_idx : 3409, path_idx : 42567
rank35: similarity : 0.7917285561561584, dataset_idx : 1586, path_idx : 35584
rank36: similarity : 0.7884142398834229, dataset_idx : 3770, path_idx : 53365
rank37: similarity : 0.7880922555923462, dataset_idx : 1330, path_idx : 28652
rank38: similarity : 0.7817658185958862, dataset_idx : 928, path_idx : 49278
rank39: similarity : 0.7816323041915894, dataset_idx : 928, path_idx : 51013
rank40: similarity : 0.7776440382003784, dataset_idx : 3817, path_idx : 37058
rank41: similarity : 0.7734195590019226, dataset_idx : 2062, path_idx : 13735
rank42: similarity : 0.7705569267272949, dataset_idx : 2556, path_idx : 33068
rank43: similarity : 0.7702512145042419, dataset_idx : 2201, path_idx : 58724
rank44: similarity : 0.7606285214424133, dataset_idx : 61, path_idx : 26728
rank45: similarity : 0.7594453692436218, dataset_idx : 2842, path_idx : 40172
rank46: similarity : 0.7586026191711426, dataset_idx : 259, path_idx : 8076
rank47: similarity : 0.756278395652771, dataset_idx : 1754, path_idx : 63442
rank48: similarity : 0.7549070715904236, dataset_idx : 4274, path_idx : 57423
rank49: similarity : 0.7500141859054565, dataset_idx : 1330, path_idx : 23859
