CONFIG : images : 3000, stage : 2, block : 13, dimension : 38, top_k :50
rank0: similarity : 4.4293975830078125, dataset_idx : 1754, path_idx : 8677
rank1: similarity : 4.327770233154297, dataset_idx : 2887, path_idx : 3679
rank2: similarity : 4.063112258911133, dataset_idx : 2616, path_idx : 9551
rank3: similarity : 4.030159950256348, dataset_idx : 1534, path_idx : 16647
rank4: similarity : 4.024971961975098, dataset_idx : 669, path_idx : 14213
rank5: similarity : 3.9905314445495605, dataset_idx : 48, path_idx : 5312
rank6: similarity : 3.9897079467773438, dataset_idx : 1920, path_idx : 7646
rank7: similarity : 3.964482307434082, dataset_idx : 2582, path_idx : 7950
rank8: similarity : 3.9344565868377686, dataset_idx : 539, path_idx : 12071
rank9: similarity : 3.84145188331604, dataset_idx : 1754, path_idx : 12154
rank10: similarity : 3.832409381866455, dataset_idx : 1754, path_idx : 2559
rank11: similarity : 3.794562578201294, dataset_idx : 893, path_idx : 11474
rank12: similarity : 3.7924442291259766, dataset_idx : 974, path_idx : 4490
rank13: similarity : 3.7817025184631348, dataset_idx : 2257, path_idx : 9770
rank14: similarity : 3.7807188034057617, dataset_idx : 31, path_idx : 4633
rank15: similarity : 3.763245105743408, dataset_idx : 662, path_idx : 2589
rank16: similarity : 3.762256622314453, dataset_idx : 1544, path_idx : 2449
rank17: similarity : 3.7498648166656494, dataset_idx : 2748, path_idx : 11481
rank18: similarity : 3.74206805229187, dataset_idx : 974, path_idx : 10407
rank19: similarity : 3.7406036853790283, dataset_idx : 2003, path_idx : 3428
rank20: similarity : 3.737502098083496, dataset_idx : 1354, path_idx : 11590
rank21: similarity : 3.7364509105682373, dataset_idx : 1552, path_idx : 11787
rank22: similarity : 3.725344181060791, dataset_idx : 458, path_idx : 1471
rank23: similarity : 3.7232117652893066, dataset_idx : 1593, path_idx : 13515
rank24: similarity : 3.7158496379852295, dataset_idx : 259, path_idx : 3145
rank25: similarity : 3.712214946746826, dataset_idx : 69, path_idx : 16742
rank26: similarity : 3.7072081565856934, dataset_idx : 761, path_idx : 6176
rank27: similarity : 3.698580503463745, dataset_idx : 2616, path_idx : 8468
rank28: similarity : 3.6793360710144043, dataset_idx : 416, path_idx : 4132
rank29: similarity : 3.6766395568847656, dataset_idx : 1258, path_idx : 13846
rank30: similarity : 3.6730504035949707, dataset_idx : 1049, path_idx : 9168
rank31: similarity : 3.6605427265167236, dataset_idx : 539, path_idx : 10268
rank32: similarity : 3.6601052284240723, dataset_idx : 2435, path_idx : 11952
rank33: similarity : 3.659923791885376, dataset_idx : 2521, path_idx : 2951
rank34: similarity : 3.6489980220794678, dataset_idx : 4, path_idx : 1266
rank35: similarity : 3.648984670639038, dataset_idx : 2435, path_idx : 13389
rank36: similarity : 3.6481375694274902, dataset_idx : 1267, path_idx : 9668
rank37: similarity : 3.6417789459228516, dataset_idx : 2824, path_idx : 2709
rank38: similarity : 3.6398537158966064, dataset_idx : 667, path_idx : 10731
rank39: similarity : 3.638657331466675, dataset_idx : 539, path_idx : 11573
rank40: similarity : 3.6381938457489014, dataset_idx : 1074, path_idx : 11193
rank41: similarity : 3.636294364929199, dataset_idx : 461, path_idx : 7117
rank42: similarity : 3.6327638626098633, dataset_idx : 584, path_idx : 13831
rank43: similarity : 3.6085238456726074, dataset_idx : 259, path_idx : 1705
rank44: similarity : 3.6016790866851807, dataset_idx : 1267, path_idx : 9065
rank45: similarity : 3.5951943397521973, dataset_idx : 1343, path_idx : 13374
rank46: similarity : 3.5949759483337402, dataset_idx : 1552, path_idx : 11565
rank47: similarity : 3.5836949348449707, dataset_idx : 461, path_idx : 9644
rank48: similarity : 3.5792582035064697, dataset_idx : 2479, path_idx : 3508
rank49: similarity : 3.567643642425537, dataset_idx : 2452, path_idx : 5451
