CONFIG : images : 1000, stage : 2, block : 10, dimension : 1074, top_k :50
rank0: similarity : 6.793944835662842, dataset_idx : 273, path_idx : 12204
rank1: similarity : 6.7759809494018555, dataset_idx : 396, path_idx : 13857
rank2: similarity : 6.749125957489014, dataset_idx : 316, path_idx : 10643
rank3: similarity : 6.746836185455322, dataset_idx : 271, path_idx : 10941
rank4: similarity : 6.731228351593018, dataset_idx : 988, path_idx : 14365
rank5: similarity : 6.543431282043457, dataset_idx : 471, path_idx : 8826
rank6: similarity : 6.539535045623779, dataset_idx : 458, path_idx : 5004
rank7: similarity : 6.535808086395264, dataset_idx : 765, path_idx : 10791
rank8: similarity : 6.53559684753418, dataset_idx : 593, path_idx : 8204
rank9: similarity : 6.528462886810303, dataset_idx : 43, path_idx : 9791
rank10: similarity : 6.509023666381836, dataset_idx : 396, path_idx : 13977
rank11: similarity : 6.486791610717773, dataset_idx : 890, path_idx : 8819
rank12: similarity : 6.405148029327393, dataset_idx : 230, path_idx : 11319
rank13: similarity : 6.356590747833252, dataset_idx : 961, path_idx : 9523
rank14: similarity : 6.340807914733887, dataset_idx : 454, path_idx : 8481
rank15: similarity : 6.337523937225342, dataset_idx : 883, path_idx : 15905
rank16: similarity : 6.3352484703063965, dataset_idx : 494, path_idx : 11232
rank17: similarity : 6.32749080657959, dataset_idx : 330, path_idx : 14423
rank18: similarity : 6.325078964233398, dataset_idx : 376, path_idx : 7211
rank19: similarity : 6.323093891143799, dataset_idx : 256, path_idx : 1701
rank20: similarity : 6.294668674468994, dataset_idx : 218, path_idx : 10043
rank21: similarity : 6.292288303375244, dataset_idx : 961, path_idx : 9403
rank22: similarity : 6.281356334686279, dataset_idx : 391, path_idx : 5132
rank23: similarity : 6.279475688934326, dataset_idx : 403, path_idx : 4472
rank24: similarity : 6.266502380371094, dataset_idx : 599, path_idx : 12193
rank25: similarity : 6.255222320556641, dataset_idx : 218, path_idx : 9923
rank26: similarity : 6.252956867218018, dataset_idx : 593, path_idx : 5924
rank27: similarity : 6.24931001663208, dataset_idx : 218, path_idx : 4944
rank28: similarity : 6.240777015686035, dataset_idx : 650, path_idx : 13358
rank29: similarity : 6.238897323608398, dataset_idx : 466, path_idx : 7143
rank30: similarity : 6.227068901062012, dataset_idx : 755, path_idx : 16157
rank31: similarity : 6.20170783996582, dataset_idx : 612, path_idx : 1846
rank32: similarity : 6.14955472946167, dataset_idx : 711, path_idx : 16157
rank33: similarity : 6.149035930633545, dataset_idx : 561, path_idx : 9814
rank34: similarity : 6.144339084625244, dataset_idx : 917, path_idx : 12305
rank35: similarity : 6.136439323425293, dataset_idx : 396, path_idx : 14739
rank36: similarity : 6.1065263748168945, dataset_idx : 271, path_idx : 11061
rank37: similarity : 6.09927225112915, dataset_idx : 786, path_idx : 9305
rank38: similarity : 6.0642805099487305, dataset_idx : 713, path_idx : 13847
rank39: similarity : 6.05326509475708, dataset_idx : 396, path_idx : 13858
rank40: similarity : 6.045677661895752, dataset_idx : 670, path_idx : 12744
rank41: similarity : 6.035094738006592, dataset_idx : 29, path_idx : 16874
rank42: similarity : 6.028424263000488, dataset_idx : 954, path_idx : 17004
rank43: similarity : 6.0241379737854, dataset_idx : 569, path_idx : 17834
rank44: similarity : 6.021805763244629, dataset_idx : 621, path_idx : 5723
rank45: similarity : 6.001363277435303, dataset_idx : 396, path_idx : 13978
rank46: similarity : 5.996645927429199, dataset_idx : 988, path_idx : 14485
rank47: similarity : 5.991931438446045, dataset_idx : 586, path_idx : 5142
rank48: similarity : 5.97831916809082, dataset_idx : 149, path_idx : 10994
rank49: similarity : 5.965358257293701, dataset_idx : 774, path_idx : 5087
