CONFIG : images : 1000, stage : 0, block : 0, dimension : 504, top_k :50
rank0: similarity : 5.315906047821045, dataset_idx : 905, path_idx : 255079
rank1: similarity : 5.263839244842529, dataset_idx : 325, path_idx : 223328
rank2: similarity : 5.261956691741943, dataset_idx : 61, path_idx : 153735
rank3: similarity : 5.260993480682373, dataset_idx : 85, path_idx : 24828
rank4: similarity : 5.250951290130615, dataset_idx : 85, path_idx : 24829
rank5: similarity : 5.247140407562256, dataset_idx : 85, path_idx : 24830
rank6: similarity : 5.240919589996338, dataset_idx : 56, path_idx : 113021
rank7: similarity : 5.237185001373291, dataset_idx : 74, path_idx : 80526
rank8: similarity : 5.2301926612854, dataset_idx : 156, path_idx : 17377
rank9: similarity : 5.225546360015869, dataset_idx : 97, path_idx : 34460
rank10: similarity : 5.223979473114014, dataset_idx : 12, path_idx : 20665
rank11: similarity : 5.223831653594971, dataset_idx : 420, path_idx : 226954
rank12: similarity : 5.219485759735107, dataset_idx : 85, path_idx : 24831
rank13: similarity : 5.2190423011779785, dataset_idx : 97, path_idx : 34241
rank14: similarity : 5.212545871734619, dataset_idx : 12, path_idx : 20663
rank15: similarity : 5.210036754608154, dataset_idx : 12, path_idx : 20666
rank16: similarity : 5.209165096282959, dataset_idx : 12, path_idx : 20699
rank17: similarity : 5.2045159339904785, dataset_idx : 274, path_idx : 5391
rank18: similarity : 5.20383882522583, dataset_idx : 12, path_idx : 20664
rank19: similarity : 5.201529026031494, dataset_idx : 274, path_idx : 5401
rank20: similarity : 5.199923038482666, dataset_idx : 85, path_idx : 24827
rank21: similarity : 5.198965549468994, dataset_idx : 795, path_idx : 29870
rank22: similarity : 5.197177410125732, dataset_idx : 246, path_idx : 34816
rank23: similarity : 5.196378231048584, dataset_idx : 795, path_idx : 30230
rank24: similarity : 5.196034908294678, dataset_idx : 274, path_idx : 5421
rank25: similarity : 5.193960666656494, dataset_idx : 598, path_idx : 630
rank26: similarity : 5.193674564361572, dataset_idx : 274, path_idx : 5481
rank27: similarity : 5.19365930557251, dataset_idx : 246, path_idx : 34815
rank28: similarity : 5.193637371063232, dataset_idx : 795, path_idx : 30131
rank29: similarity : 5.19318151473999, dataset_idx : 274, path_idx : 5560
rank30: similarity : 5.192642688751221, dataset_idx : 274, path_idx : 5661
rank31: similarity : 5.1923508644104, dataset_idx : 12, path_idx : 20788
rank32: similarity : 5.1920342445373535, dataset_idx : 274, path_idx : 5721
rank33: similarity : 5.191778659820557, dataset_idx : 598, path_idx : 710
rank34: similarity : 5.191318035125732, dataset_idx : 598, path_idx : 720
rank35: similarity : 5.191288471221924, dataset_idx : 274, path_idx : 5470
rank36: similarity : 5.191207408905029, dataset_idx : 274, path_idx : 5420
rank37: similarity : 5.189993381500244, dataset_idx : 274, path_idx : 5720
rank38: similarity : 5.189935207366943, dataset_idx : 795, path_idx : 30040
rank39: similarity : 5.189561367034912, dataset_idx : 274, path_idx : 5650
rank40: similarity : 5.188841342926025, dataset_idx : 274, path_idx : 5331
rank41: similarity : 5.188192844390869, dataset_idx : 795, path_idx : 30050
rank42: similarity : 5.1878838539123535, dataset_idx : 274, path_idx : 5371
rank43: similarity : 5.187832355499268, dataset_idx : 598, path_idx : 711
rank44: similarity : 5.187564373016357, dataset_idx : 274, path_idx : 5621
rank45: similarity : 5.187392711639404, dataset_idx : 246, path_idx : 34811
rank46: similarity : 5.187283992767334, dataset_idx : 274, path_idx : 5500
rank47: similarity : 5.186879634857178, dataset_idx : 274, path_idx : 5360
rank48: similarity : 5.186507701873779, dataset_idx : 274, path_idx : 5301
rank49: similarity : 5.186086177825928, dataset_idx : 274, path_idx : 5290
