CONFIG : images : 1, stage : 0, block : 0, dimension : 358, top_k :50
rank0: similarity : 3.3348865509033203, dataset_idx : 0, path_idx : 153877
rank1: similarity : 3.230212688446045, dataset_idx : 0, path_idx : 195039
rank2: similarity : 3.209069013595581, dataset_idx : 0, path_idx : 151119
rank3: similarity : 3.092963933944702, dataset_idx : 0, path_idx : 194141
rank4: similarity : 3.081332206726074, dataset_idx : 0, path_idx : 112593
rank5: similarity : 3.017303228378296, dataset_idx : 0, path_idx : 156119
rank6: similarity : 2.9996395111083984, dataset_idx : 0, path_idx : 139563
rank7: similarity : 2.9561831951141357, dataset_idx : 0, path_idx : 198890
rank8: similarity : 2.939641237258911, dataset_idx : 0, path_idx : 112121
rank9: similarity : 2.9352214336395264, dataset_idx : 0, path_idx : 150096
rank10: similarity : 2.9122841358184814, dataset_idx : 0, path_idx : 194199
rank11: similarity : 2.9093363285064697, dataset_idx : 0, path_idx : 150599
rank12: similarity : 2.9061248302459717, dataset_idx : 0, path_idx : 194569
rank13: similarity : 2.9045557975769043, dataset_idx : 0, path_idx : 149621
rank14: similarity : 2.8964226245880127, dataset_idx : 0, path_idx : 195524
rank15: similarity : 2.8507020473480225, dataset_idx : 0, path_idx : 166671
rank16: similarity : 2.8492844104766846, dataset_idx : 0, path_idx : 143351
rank17: similarity : 2.8033974170684814, dataset_idx : 0, path_idx : 140505
rank18: similarity : 2.7986886501312256, dataset_idx : 0, path_idx : 119104
rank19: similarity : 2.7869174480438232, dataset_idx : 0, path_idx : 147162
rank20: similarity : 2.783159017562866, dataset_idx : 0, path_idx : 163791
rank21: similarity : 2.7714102268218994, dataset_idx : 0, path_idx : 111652
rank22: similarity : 2.7505626678466797, dataset_idx : 0, path_idx : 225446
rank23: similarity : 2.7476680278778076, dataset_idx : 0, path_idx : 105915
rank24: similarity : 2.7435832023620605, dataset_idx : 0, path_idx : 102553
rank25: similarity : 2.7378242015838623, dataset_idx : 0, path_idx : 146322
rank26: similarity : 2.732572317123413, dataset_idx : 0, path_idx : 99708
rank27: similarity : 2.727788209915161, dataset_idx : 0, path_idx : 143803
rank28: similarity : 2.710157632827759, dataset_idx : 0, path_idx : 143848
rank29: similarity : 2.7073252201080322, dataset_idx : 0, path_idx : 195119
rank30: similarity : 2.6906325817108154, dataset_idx : 0, path_idx : 101612
rank31: similarity : 2.676384925842285, dataset_idx : 0, path_idx : 194598
rank32: similarity : 2.656604290008545, dataset_idx : 0, path_idx : 154420
rank33: similarity : 2.655712127685547, dataset_idx : 0, path_idx : 102139
rank34: similarity : 2.646935224533081, dataset_idx : 0, path_idx : 195121
rank35: similarity : 2.6414079666137695, dataset_idx : 0, path_idx : 99233
rank36: similarity : 2.6327736377716064, dataset_idx : 0, path_idx : 144346
rank37: similarity : 2.6302618980407715, dataset_idx : 0, path_idx : 194155
rank38: similarity : 2.6091887950897217, dataset_idx : 0, path_idx : 194613
rank39: similarity : 2.6065564155578613, dataset_idx : 0, path_idx : 199363
rank40: similarity : 2.602318286895752, dataset_idx : 0, path_idx : 74776
rank41: similarity : 2.595258951187134, dataset_idx : 0, path_idx : 153484
rank42: similarity : 2.593925714492798, dataset_idx : 0, path_idx : 140036
rank43: similarity : 2.581758975982666, dataset_idx : 0, path_idx : 192269
rank44: similarity : 2.5747625827789307, dataset_idx : 0, path_idx : 156759
rank45: similarity : 2.5736072063446045, dataset_idx : 0, path_idx : 239559
rank46: similarity : 2.5446383953094482, dataset_idx : 0, path_idx : 74305
rank47: similarity : 2.5393757820129395, dataset_idx : 0, path_idx : 194094
rank48: similarity : 2.535548686981201, dataset_idx : 0, path_idx : 114784
rank49: similarity : 2.535062074661255, dataset_idx : 0, path_idx : 235731
