number of the images used for analysis: 3000
CONFIG : images : 3000, stage : 2, block : 0, dimension : 1479, top_k :50
rank0: similarity : 6.81704044342041, dataset_idx : 1036, path_idx : 8813
rank1: similarity : 6.590053558349609, dataset_idx : 2981, path_idx : 5929
rank2: similarity : 6.4816484451293945, dataset_idx : 2651, path_idx : 5234
rank3: similarity : 6.239277362823486, dataset_idx : 1157, path_idx : 8224
rank4: similarity : 6.04418420791626, dataset_idx : 320, path_idx : 7274
rank5: similarity : 6.020238876342773, dataset_idx : 584, path_idx : 16124
rank6: similarity : 6.01722526550293, dataset_idx : 201, path_idx : 10867
rank7: similarity : 5.983660697937012, dataset_idx : 960, path_idx : 12645
rank8: similarity : 5.890737056732178, dataset_idx : 144, path_idx : 15638
rank9: similarity : 5.818264007568359, dataset_idx : 1444, path_idx : 5223
rank10: similarity : 5.783718585968018, dataset_idx : 144, path_idx : 7114
rank11: similarity : 5.767277717590332, dataset_idx : 2670, path_idx : 15173
rank12: similarity : 5.7571916580200195, dataset_idx : 144, path_idx : 15640
rank13: similarity : 5.733816623687744, dataset_idx : 2131, path_idx : 3308
rank14: similarity : 5.7294535636901855, dataset_idx : 869, path_idx : 12160
rank15: similarity : 5.7126312255859375, dataset_idx : 278, path_idx : 15676
rank16: similarity : 5.679317474365234, dataset_idx : 2380, path_idx : 14229
rank17: similarity : 5.663820266723633, dataset_idx : 162, path_idx : 10609
rank18: similarity : 5.65686559677124, dataset_idx : 597, path_idx : 6393
rank19: similarity : 5.651817321777344, dataset_idx : 2131, path_idx : 3545
rank20: similarity : 5.650837421417236, dataset_idx : 869, path_idx : 13960
rank21: similarity : 5.647757530212402, dataset_idx : 1719, path_idx : 6299
rank22: similarity : 5.640800476074219, dataset_idx : 303, path_idx : 9648
rank23: similarity : 5.630918502807617, dataset_idx : 616, path_idx : 9430
rank24: similarity : 5.6221747398376465, dataset_idx : 2143, path_idx : 3641
rank25: similarity : 5.615191459655762, dataset_idx : 2651, path_idx : 6315
rank26: similarity : 5.614616394042969, dataset_idx : 547, path_idx : 2008
rank27: similarity : 5.6135406494140625, dataset_idx : 600, path_idx : 10623
rank28: similarity : 5.610532283782959, dataset_idx : 1995, path_idx : 9186
rank29: similarity : 5.610085487365723, dataset_idx : 2824, path_idx : 2713
rank30: similarity : 5.602503299713135, dataset_idx : 869, path_idx : 13956
rank31: similarity : 5.600846290588379, dataset_idx : 4, path_idx : 3057
rank32: similarity : 5.582667350769043, dataset_idx : 1129, path_idx : 10721
rank33: similarity : 5.582157135009766, dataset_idx : 1869, path_idx : 13527
rank34: similarity : 5.578044414520264, dataset_idx : 1036, path_idx : 8822
rank35: similarity : 5.575693130493164, dataset_idx : 1330, path_idx : 5332
rank36: similarity : 5.570270538330078, dataset_idx : 993, path_idx : 9559
rank37: similarity : 5.565352439880371, dataset_idx : 1599, path_idx : 9326
rank38: similarity : 5.561820983886719, dataset_idx : 381, path_idx : 7649
rank39: similarity : 5.558628559112549, dataset_idx : 199, path_idx : 7768
rank40: similarity : 5.5579681396484375, dataset_idx : 1129, path_idx : 10850
rank41: similarity : 5.557607173919678, dataset_idx : 2750, path_idx : 15432
rank42: similarity : 5.544382095336914, dataset_idx : 2131, path_idx : 3183
rank43: similarity : 5.537932395935059, dataset_idx : 2918, path_idx : 7372
rank44: similarity : 5.536665916442871, dataset_idx : 959, path_idx : 4230
rank45: similarity : 5.513209819793701, dataset_idx : 889, path_idx : 13160
rank46: similarity : 5.497127532958984, dataset_idx : 1518, path_idx : 8818
rank47: similarity : 5.496593475341797, dataset_idx : 1959, path_idx : 5562
rank48: similarity : 5.496477127075195, dataset_idx : 2680, path_idx : 8580
rank49: similarity : 5.49465274810791, dataset_idx : 1036, path_idx : 7716
