CONFIG : images : 3000, stage : 1, block : 0, dimension : 988, top_k :50
rank0: similarity : 0.974977970123291, dataset_idx : 1312, path_idx : 48993
rank1: similarity : 0.9696263670921326, dataset_idx : 1397, path_idx : 63530
rank2: similarity : 0.9348418712615967, dataset_idx : 2759, path_idx : 19472
rank3: similarity : 0.9341716170310974, dataset_idx : 1495, path_idx : 56677
rank4: similarity : 0.9312445521354675, dataset_idx : 2891, path_idx : 51862
rank5: similarity : 0.9247781038284302, dataset_idx : 2891, path_idx : 5782
rank6: similarity : 0.923512876033783, dataset_idx : 1539, path_idx : 61485
rank7: similarity : 0.9217186570167542, dataset_idx : 340, path_idx : 65787
rank8: similarity : 0.9114816784858704, dataset_idx : 940, path_idx : 37707
rank9: similarity : 0.9106802344322205, dataset_idx : 2017, path_idx : 41260
rank10: similarity : 0.9087592959403992, dataset_idx : 1584, path_idx : 40117
rank11: similarity : 0.9063445925712585, dataset_idx : 443, path_idx : 54992
rank12: similarity : 0.903350293636322, dataset_idx : 2405, path_idx : 61650
rank13: similarity : 0.9007729291915894, dataset_idx : 2399, path_idx : 56184
rank14: similarity : 0.8909094333648682, dataset_idx : 746, path_idx : 4019
rank15: similarity : 0.8905938267707825, dataset_idx : 1147, path_idx : 15156
rank16: similarity : 0.8893731832504272, dataset_idx : 1124, path_idx : 24998
rank17: similarity : 0.8887947797775269, dataset_idx : 1752, path_idx : 37675
rank18: similarity : 0.8875207304954529, dataset_idx : 2668, path_idx : 33634
rank19: similarity : 0.8848737478256226, dataset_idx : 1641, path_idx : 57090
rank20: similarity : 0.8832783102989197, dataset_idx : 841, path_idx : 75141
rank21: similarity : 0.8825846314430237, dataset_idx : 2268, path_idx : 1239
rank22: similarity : 0.8751184344291687, dataset_idx : 2, path_idx : 53047
rank23: similarity : 0.8740312457084656, dataset_idx : 140, path_idx : 18420
rank24: similarity : 0.8714191317558289, dataset_idx : 340, path_idx : 65789
rank25: similarity : 0.8710512518882751, dataset_idx : 1309, path_idx : 3910
rank26: similarity : 0.8699301481246948, dataset_idx : 817, path_idx : 76112
rank27: similarity : 0.8693955540657043, dataset_idx : 2273, path_idx : 75917
rank28: similarity : 0.8689152598381042, dataset_idx : 340, path_idx : 65788
rank29: similarity : 0.8685189485549927, dataset_idx : 1751, path_idx : 43519
rank30: similarity : 0.8681054711341858, dataset_idx : 2512, path_idx : 6304
rank31: similarity : 0.8680003881454468, dataset_idx : 2460, path_idx : 35250
rank32: similarity : 0.866080641746521, dataset_idx : 1049, path_idx : 12290
rank33: similarity : 0.8647397756576538, dataset_idx : 340, path_idx : 65786
rank34: similarity : 0.864685595035553, dataset_idx : 1952, path_idx : 33878
rank35: similarity : 0.861388623714447, dataset_idx : 402, path_idx : 13463
rank36: similarity : 0.8609941601753235, dataset_idx : 407, path_idx : 18514
rank37: similarity : 0.8600479364395142, dataset_idx : 368, path_idx : 24386
rank38: similarity : 0.8594545722007751, dataset_idx : 851, path_idx : 51851
rank39: similarity : 0.8587512969970703, dataset_idx : 250, path_idx : 73525
rank40: similarity : 0.857038140296936, dataset_idx : 910, path_idx : 73536
rank41: similarity : 0.856747567653656, dataset_idx : 2150, path_idx : 55560
rank42: similarity : 0.8566619157791138, dataset_idx : 2657, path_idx : 21965
rank43: similarity : 0.8566415309906006, dataset_idx : 2460, path_idx : 54747
rank44: similarity : 0.8564197421073914, dataset_idx : 2268, path_idx : 999
rank45: similarity : 0.8559216856956482, dataset_idx : 2083, path_idx : 20662
rank46: similarity : 0.8549957871437073, dataset_idx : 2759, path_idx : 31585
rank47: similarity : 0.8545507192611694, dataset_idx : 838, path_idx : 25470
rank48: similarity : 0.8545244932174683, dataset_idx : 438, path_idx : 6331
rank49: similarity : 0.8542140126228333, dataset_idx : 75, path_idx : 9944
