CONFIG : images : 1000, stage : 2, block : 10, dimension : 1907, top_k :50
rank0: similarity : 4.011216163635254, dataset_idx : 291, path_idx : 13603
rank1: similarity : 3.4765937328338623, dataset_idx : 815, path_idx : 11094
rank2: similarity : 3.4600255489349365, dataset_idx : 291, path_idx : 13484
rank3: similarity : 3.4591963291168213, dataset_idx : 291, path_idx : 13724
rank4: similarity : 3.455282211303711, dataset_idx : 291, path_idx : 13483
rank5: similarity : 3.384556531906128, dataset_idx : 516, path_idx : 14571
rank6: similarity : 3.342005729675293, dataset_idx : 291, path_idx : 13602
rank7: similarity : 3.3272509574890137, dataset_idx : 56, path_idx : 12683
rank8: similarity : 3.31042218208313, dataset_idx : 61, path_idx : 11344
rank9: similarity : 3.3053245544433594, dataset_idx : 291, path_idx : 13641
rank10: similarity : 3.2914650440216064, dataset_idx : 815, path_idx : 11214
rank11: similarity : 3.2878024578094482, dataset_idx : 36, path_idx : 9734
rank12: similarity : 3.2818188667297363, dataset_idx : 190, path_idx : 10977
rank13: similarity : 3.2786874771118164, dataset_idx : 138, path_idx : 14621
rank14: similarity : 3.2692291736602783, dataset_idx : 812, path_idx : 9655
rank15: similarity : 3.2657482624053955, dataset_idx : 17, path_idx : 14232
rank16: similarity : 3.254974365234375, dataset_idx : 812, path_idx : 13266
rank17: similarity : 3.254791259765625, dataset_idx : 291, path_idx : 13604
rank18: similarity : 3.2521817684173584, dataset_idx : 291, path_idx : 13844
rank19: similarity : 3.2505619525909424, dataset_idx : 291, path_idx : 13843
rank20: similarity : 3.2455508708953857, dataset_idx : 427, path_idx : 10944
rank21: similarity : 3.2421960830688477, dataset_idx : 49, path_idx : 13384
rank22: similarity : 3.2248430252075195, dataset_idx : 291, path_idx : 13521
rank23: similarity : 3.2216720581054688, dataset_idx : 925, path_idx : 13403
rank24: similarity : 3.215393304824829, dataset_idx : 188, path_idx : 10854
rank25: similarity : 3.19134521484375, dataset_idx : 63, path_idx : 18734
rank26: similarity : 3.1749520301818848, dataset_idx : 849, path_idx : 14051
rank27: similarity : 3.171443462371826, dataset_idx : 656, path_idx : 17572
rank28: similarity : 3.164501667022705, dataset_idx : 656, path_idx : 18049
rank29: similarity : 3.1606619358062744, dataset_idx : 14, path_idx : 8599
rank30: similarity : 3.160032272338867, dataset_idx : 560, path_idx : 17980
rank31: similarity : 3.1570663452148438, dataset_idx : 291, path_idx : 13758
rank32: similarity : 3.150221824645996, dataset_idx : 811, path_idx : 16105
rank33: similarity : 3.143146514892578, dataset_idx : 637, path_idx : 9800
rank34: similarity : 3.1390225887298584, dataset_idx : 851, path_idx : 16748
rank35: similarity : 3.1327524185180664, dataset_idx : 338, path_idx : 12551
rank36: similarity : 3.1292266845703125, dataset_idx : 316, path_idx : 1374
rank37: similarity : 3.1229262351989746, dataset_idx : 508, path_idx : 9624
rank38: similarity : 3.1179721355438232, dataset_idx : 221, path_idx : 16719
rank39: similarity : 3.116513729095459, dataset_idx : 812, path_idx : 12551
rank40: similarity : 3.112628936767578, dataset_idx : 541, path_idx : 16264
rank41: similarity : 3.107668399810791, dataset_idx : 14, path_idx : 8359
rank42: similarity : 3.1059517860412598, dataset_idx : 815, path_idx : 11095
rank43: similarity : 3.1051464080810547, dataset_idx : 51, path_idx : 10029
rank44: similarity : 3.098695993423462, dataset_idx : 253, path_idx : 15903
rank45: similarity : 3.0984902381896973, dataset_idx : 299, path_idx : 17238
rank46: similarity : 3.0858216285705566, dataset_idx : 346, path_idx : 8917
rank47: similarity : 3.079749822616577, dataset_idx : 291, path_idx : 13364
rank48: similarity : 3.0787625312805176, dataset_idx : 253, path_idx : 14614
rank49: similarity : 3.077108860015869, dataset_idx : 56, path_idx : 12445
