CONFIG : images : 1000, stage : 3, block : 1, dimension : 3501, top_k :50
rank0: similarity : 10.508480072021484, dataset_idx : 873, path_idx : 4315
rank1: similarity : 10.383172035217285, dataset_idx : 724, path_idx : 3664
rank2: similarity : 10.335410118103027, dataset_idx : 575, path_idx : 3064
rank3: similarity : 10.315476417541504, dataset_idx : 574, path_idx : 2189
rank4: similarity : 10.276104927062988, dataset_idx : 812, path_idx : 3872
rank5: similarity : 10.229313850402832, dataset_idx : 920, path_idx : 2798
rank6: similarity : 10.088218688964844, dataset_idx : 53, path_idx : 2481
rank7: similarity : 10.057174682617188, dataset_idx : 703, path_idx : 3319
rank8: similarity : 10.055304527282715, dataset_idx : 841, path_idx : 1294
rank9: similarity : 10.052227973937988, dataset_idx : 307, path_idx : 4100
rank10: similarity : 10.044506072998047, dataset_idx : 703, path_idx : 3318
rank11: similarity : 10.021799087524414, dataset_idx : 12, path_idx : 3575
rank12: similarity : 10.017355918884277, dataset_idx : 565, path_idx : 2718
rank13: similarity : 10.006355285644531, dataset_idx : 200, path_idx : 1889
rank14: similarity : 9.986372947692871, dataset_idx : 751, path_idx : 3915
rank15: similarity : 9.986276626586914, dataset_idx : 76, path_idx : 1668
rank16: similarity : 9.976937294006348, dataset_idx : 155, path_idx : 3664
rank17: similarity : 9.976812362670898, dataset_idx : 93, path_idx : 4120
rank18: similarity : 9.975639343261719, dataset_idx : 816, path_idx : 1714
rank19: similarity : 9.97185230255127, dataset_idx : 991, path_idx : 3347
rank20: similarity : 9.966925621032715, dataset_idx : 539, path_idx : 2203
rank21: similarity : 9.966543197631836, dataset_idx : 12, path_idx : 3515
rank22: similarity : 9.963279724121094, dataset_idx : 122, path_idx : 2077
rank23: similarity : 9.961382865905762, dataset_idx : 290, path_idx : 1416
rank24: similarity : 9.959041595458984, dataset_idx : 447, path_idx : 1606
rank25: similarity : 9.954401016235352, dataset_idx : 333, path_idx : 2594
rank26: similarity : 9.9479341506958, dataset_idx : 688, path_idx : 3685
rank27: similarity : 9.931440353393555, dataset_idx : 650, path_idx : 2059
rank28: similarity : 9.931392669677734, dataset_idx : 177, path_idx : 2784
rank29: similarity : 9.930888175964355, dataset_idx : 147, path_idx : 1720
rank30: similarity : 9.92944049835205, dataset_idx : 940, path_idx : 3513
rank31: similarity : 9.929327011108398, dataset_idx : 474, path_idx : 648
rank32: similarity : 9.924565315246582, dataset_idx : 703, path_idx : 2738
rank33: similarity : 9.923345565795898, dataset_idx : 769, path_idx : 3318
rank34: similarity : 9.918378829956055, dataset_idx : 841, path_idx : 1235
rank35: similarity : 9.914758682250977, dataset_idx : 703, path_idx : 1471
rank36: similarity : 9.914196014404297, dataset_idx : 200, path_idx : 1829
rank37: similarity : 9.912738800048828, dataset_idx : 710, path_idx : 2184
rank38: similarity : 9.912141799926758, dataset_idx : 12, path_idx : 3456
rank39: similarity : 9.898985862731934, dataset_idx : 420, path_idx : 386
rank40: similarity : 9.897139549255371, dataset_idx : 30, path_idx : 1468
rank41: similarity : 9.895215034484863, dataset_idx : 788, path_idx : 3577
rank42: similarity : 9.891582489013672, dataset_idx : 602, path_idx : 4280
rank43: similarity : 9.883691787719727, dataset_idx : 218, path_idx : 2322
rank44: similarity : 9.882116317749023, dataset_idx : 836, path_idx : 886
rank45: similarity : 9.874295234680176, dataset_idx : 307, path_idx : 4040
rank46: similarity : 9.869444847106934, dataset_idx : 121, path_idx : 3099
rank47: similarity : 9.867524147033691, dataset_idx : 177, path_idx : 2724
rank48: similarity : 9.867191314697266, dataset_idx : 380, path_idx : 3007
rank49: similarity : 9.866743087768555, dataset_idx : 816, path_idx : 2199
