CONFIG : images : 1000, stage : 1, block : 1, dimension : 934, top_k :50
rank0: similarity : 2.8837502002716064, dataset_idx : 874, path_idx : 33396
rank1: similarity : 2.8714146614074707, dataset_idx : 974, path_idx : 18595
rank2: similarity : 2.7926743030548096, dataset_idx : 368, path_idx : 63999
rank3: similarity : 2.7815499305725098, dataset_idx : 144, path_idx : 62475
rank4: similarity : 2.771542549133301, dataset_idx : 17, path_idx : 45503
rank5: similarity : 2.764183521270752, dataset_idx : 743, path_idx : 15730
rank6: similarity : 2.699847459793091, dataset_idx : 201, path_idx : 43370
rank7: similarity : 2.6746671199798584, dataset_idx : 787, path_idx : 27791
rank8: similarity : 2.6364614963531494, dataset_idx : 228, path_idx : 15023
rank9: similarity : 2.6342201232910156, dataset_idx : 320, path_idx : 27989
rank10: similarity : 2.6076695919036865, dataset_idx : 570, path_idx : 47931
rank11: similarity : 2.594341516494751, dataset_idx : 763, path_idx : 25355
rank12: similarity : 2.573216199874878, dataset_idx : 20, path_idx : 24832
rank13: similarity : 2.551032543182373, dataset_idx : 683, path_idx : 49392
rank14: similarity : 2.537214756011963, dataset_idx : 320, path_idx : 28953
rank15: similarity : 2.5362322330474854, dataset_idx : 952, path_idx : 41642
rank16: similarity : 2.5286617279052734, dataset_idx : 179, path_idx : 14229
rank17: similarity : 2.515193223953247, dataset_idx : 681, path_idx : 38265
rank18: similarity : 2.507260799407959, dataset_idx : 159, path_idx : 7285
rank19: similarity : 2.495173454284668, dataset_idx : 424, path_idx : 17419
rank20: similarity : 2.48484206199646, dataset_idx : 591, path_idx : 10845
rank21: similarity : 2.4735071659088135, dataset_idx : 228, path_idx : 15273
rank22: similarity : 2.4697134494781494, dataset_idx : 303, path_idx : 33299
rank23: similarity : 2.4629642963409424, dataset_idx : 201, path_idx : 41899
rank24: similarity : 2.443345308303833, dataset_idx : 472, path_idx : 17195
rank25: similarity : 2.438387393951416, dataset_idx : 201, path_idx : 41655
rank26: similarity : 2.4350244998931885, dataset_idx : 419, path_idx : 28710
rank27: similarity : 2.4327232837677, dataset_idx : 368, path_idx : 57529
rank28: similarity : 2.4214556217193604, dataset_idx : 201, path_idx : 47878
rank29: similarity : 2.412823438644409, dataset_idx : 61, path_idx : 30149
rank30: similarity : 2.4067699909210205, dataset_idx : 922, path_idx : 54341
rank31: similarity : 2.403197765350342, dataset_idx : 919, path_idx : 65626
rank32: similarity : 2.403172016143799, dataset_idx : 905, path_idx : 54339
rank33: similarity : 2.401369333267212, dataset_idx : 952, path_idx : 38547
rank34: similarity : 2.3997085094451904, dataset_idx : 392, path_idx : 44999
rank35: similarity : 2.3980255126953125, dataset_idx : 403, path_idx : 16231
rank36: similarity : 2.3900656700134277, dataset_idx : 631, path_idx : 24109
rank37: similarity : 2.386293888092041, dataset_idx : 61, path_idx : 29909
rank38: similarity : 2.382258176803589, dataset_idx : 141, path_idx : 41365
rank39: similarity : 2.3683478832244873, dataset_idx : 228, path_idx : 22468
rank40: similarity : 2.365976333618164, dataset_idx : 816, path_idx : 30639
rank41: similarity : 2.3640220165252686, dataset_idx : 356, path_idx : 46662
rank42: similarity : 2.3549563884735107, dataset_idx : 378, path_idx : 58902
rank43: similarity : 2.353635311126709, dataset_idx : 20, path_idx : 25780
rank44: similarity : 2.3536124229431152, dataset_idx : 41, path_idx : 62239
rank45: similarity : 2.351152181625366, dataset_idx : 450, path_idx : 53117
rank46: similarity : 2.3491530418395996, dataset_idx : 672, path_idx : 56023
rank47: similarity : 2.3448610305786133, dataset_idx : 324, path_idx : 26318
rank48: similarity : 2.3421878814697266, dataset_idx : 167, path_idx : 50251
rank49: similarity : 2.3369126319885254, dataset_idx : 591, path_idx : 56309
