CONFIG : images : 100000, stage : 1, block : 0, dimension : 169, top_k :50
rank0: similarity : 3.452744245529175, dataset_idx : 71136, path_idx : 16203
rank1: similarity : 3.300415515899658, dataset_idx : 54738, path_idx : 37822
rank2: similarity : 3.2588675022125244, dataset_idx : 5411, path_idx : 51543
rank3: similarity : 3.2396271228790283, dataset_idx : 12858, path_idx : 17425
rank4: similarity : 3.2152202129364014, dataset_idx : 40223, path_idx : 43766
rank5: similarity : 3.172168254852295, dataset_idx : 302, path_idx : 54412
rank6: similarity : 3.1544349193573, dataset_idx : 49802, path_idx : 30565
rank7: similarity : 3.148268699645996, dataset_idx : 7854, path_idx : 49274
rank8: similarity : 3.1390507221221924, dataset_idx : 46244, path_idx : 33069
rank9: similarity : 3.109651565551758, dataset_idx : 69644, path_idx : 66538
rank10: similarity : 3.094977855682373, dataset_idx : 25167, path_idx : 22155
rank11: similarity : 3.0946316719055176, dataset_idx : 5208, path_idx : 48063
rank12: similarity : 3.092522144317627, dataset_idx : 97390, path_idx : 46245
rank13: similarity : 3.0918400287628174, dataset_idx : 24214, path_idx : 32273
rank14: similarity : 3.0825178623199463, dataset_idx : 70330, path_idx : 30851
rank15: similarity : 3.078861713409424, dataset_idx : 41425, path_idx : 7843
rank16: similarity : 3.0773050785064697, dataset_idx : 58537, path_idx : 40202
rank17: similarity : 3.0734620094299316, dataset_idx : 43805, path_idx : 20467
rank18: similarity : 3.0715060234069824, dataset_idx : 2439, path_idx : 37777
rank19: similarity : 3.0678231716156006, dataset_idx : 27122, path_idx : 25577
rank20: similarity : 3.065422296524048, dataset_idx : 4288, path_idx : 17431
rank21: similarity : 3.049687147140503, dataset_idx : 41840, path_idx : 13314
rank22: similarity : 3.0472209453582764, dataset_idx : 6056, path_idx : 39951
rank23: similarity : 3.0448970794677734, dataset_idx : 94663, path_idx : 60563
rank24: similarity : 3.0445690155029297, dataset_idx : 35474, path_idx : 14927
rank25: similarity : 3.0434417724609375, dataset_idx : 72792, path_idx : 54834
rank26: similarity : 3.0413293838500977, dataset_idx : 91636, path_idx : 53084
rank27: similarity : 3.040743350982666, dataset_idx : 55125, path_idx : 24603
rank28: similarity : 3.0308315753936768, dataset_idx : 94721, path_idx : 22207
rank29: similarity : 3.022067070007324, dataset_idx : 35762, path_idx : 57988
rank30: similarity : 3.0200424194335938, dataset_idx : 57048, path_idx : 51273
rank31: similarity : 3.0091171264648438, dataset_idx : 59887, path_idx : 48371
rank32: similarity : 3.0064949989318848, dataset_idx : 77967, path_idx : 30121
rank33: similarity : 3.0046374797821045, dataset_idx : 29711, path_idx : 68242
rank34: similarity : 2.9971024990081787, dataset_idx : 82471, path_idx : 47442
rank35: similarity : 2.9937586784362793, dataset_idx : 52177, path_idx : 47624
rank36: similarity : 2.993105173110962, dataset_idx : 49802, path_idx : 27973
rank37: similarity : 2.990046501159668, dataset_idx : 26500, path_idx : 57034
rank38: similarity : 2.989569664001465, dataset_idx : 27276, path_idx : 65343
rank39: similarity : 2.9855399131774902, dataset_idx : 61344, path_idx : 19981
rank40: similarity : 2.9830238819122314, dataset_idx : 9746, path_idx : 34161
rank41: similarity : 2.9795114994049072, dataset_idx : 99104, path_idx : 21227
rank42: similarity : 2.9772400856018066, dataset_idx : 79651, path_idx : 28125
rank43: similarity : 2.9765303134918213, dataset_idx : 75000, path_idx : 44961
rank44: similarity : 2.9762766361236572, dataset_idx : 38238, path_idx : 29370
rank45: similarity : 2.9749464988708496, dataset_idx : 4223, path_idx : 25083
rank46: similarity : 2.9671273231506348, dataset_idx : 35762, path_idx : 55797
rank47: similarity : 2.9668312072753906, dataset_idx : 4774, path_idx : 24546
rank48: similarity : 2.965813159942627, dataset_idx : 80274, path_idx : 51027
rank49: similarity : 2.964420795440674, dataset_idx : 45434, path_idx : 50982
