CONFIG : images : 100000, stage : 2, block : 0, dimension : 1076, top_k :50
rank0: similarity : 7.477823257446289, dataset_idx : 10675, path_idx : 17096
rank1: similarity : 7.292802810668945, dataset_idx : 47213, path_idx : 18777
rank2: similarity : 7.279993057250977, dataset_idx : 52783, path_idx : 16619
rank3: similarity : 7.126087188720703, dataset_idx : 2651, path_idx : 8237
rank4: similarity : 7.08629035949707, dataset_idx : 37399, path_idx : 5111
rank5: similarity : 7.079303741455078, dataset_idx : 20955, path_idx : 6783
rank6: similarity : 7.040997505187988, dataset_idx : 99401, path_idx : 14600
rank7: similarity : 7.002539157867432, dataset_idx : 50881, path_idx : 7159
rank8: similarity : 6.9988694190979, dataset_idx : 38141, path_idx : 13622
rank9: similarity : 6.993206977844238, dataset_idx : 43675, path_idx : 14215
rank10: similarity : 6.990932464599609, dataset_idx : 31157, path_idx : 3794
rank11: similarity : 6.983476161956787, dataset_idx : 59250, path_idx : 12667
rank12: similarity : 6.966826438903809, dataset_idx : 6710, path_idx : 13858
rank13: similarity : 6.965436935424805, dataset_idx : 33452, path_idx : 8453
rank14: similarity : 6.936277389526367, dataset_idx : 41556, path_idx : 17338
rank15: similarity : 6.935739517211914, dataset_idx : 49608, path_idx : 8481
rank16: similarity : 6.891869068145752, dataset_idx : 45334, path_idx : 9767
rank17: similarity : 6.8634724617004395, dataset_idx : 26189, path_idx : 11458
rank18: similarity : 6.847118377685547, dataset_idx : 27906, path_idx : 10749
rank19: similarity : 6.824128150939941, dataset_idx : 32245, path_idx : 5922
rank20: similarity : 6.820562362670898, dataset_idx : 61953, path_idx : 1962
rank21: similarity : 6.811176300048828, dataset_idx : 53687, path_idx : 12521
rank22: similarity : 6.781329154968262, dataset_idx : 28068, path_idx : 15317
rank23: similarity : 6.776067733764648, dataset_idx : 64142, path_idx : 9883
rank24: similarity : 6.765020847320557, dataset_idx : 14283, path_idx : 2934
rank25: similarity : 6.753010272979736, dataset_idx : 75072, path_idx : 4108
rank26: similarity : 6.719361305236816, dataset_idx : 8228, path_idx : 12776
rank27: similarity : 6.714178085327148, dataset_idx : 23431, path_idx : 14946
rank28: similarity : 6.705560684204102, dataset_idx : 32370, path_idx : 15815
rank29: similarity : 6.704445838928223, dataset_idx : 67999, path_idx : 8337
rank30: similarity : 6.704103469848633, dataset_idx : 60052, path_idx : 2684
rank31: similarity : 6.691404342651367, dataset_idx : 49838, path_idx : 6288
rank32: similarity : 6.683228969573975, dataset_idx : 41698, path_idx : 12335
rank33: similarity : 6.6821208000183105, dataset_idx : 94635, path_idx : 2093
rank34: similarity : 6.669467926025391, dataset_idx : 89753, path_idx : 1519
rank35: similarity : 6.665396213531494, dataset_idx : 2973, path_idx : 12317
rank36: similarity : 6.660824298858643, dataset_idx : 53926, path_idx : 16862
rank37: similarity : 6.658851146697998, dataset_idx : 98331, path_idx : 6512
rank38: similarity : 6.658034324645996, dataset_idx : 36435, path_idx : 10027
rank39: similarity : 6.655936241149902, dataset_idx : 5511, path_idx : 10154
rank40: similarity : 6.639671325683594, dataset_idx : 73866, path_idx : 6291
rank41: similarity : 6.633437633514404, dataset_idx : 68648, path_idx : 14228
rank42: similarity : 6.619409561157227, dataset_idx : 65627, path_idx : 3888
rank43: similarity : 6.615932941436768, dataset_idx : 3069, path_idx : 14733
rank44: similarity : 6.607072353363037, dataset_idx : 40284, path_idx : 5557
rank45: similarity : 6.6055192947387695, dataset_idx : 58766, path_idx : 7521
rank46: similarity : 6.5991926193237305, dataset_idx : 30447, path_idx : 3320
rank47: similarity : 6.594305038452148, dataset_idx : 65078, path_idx : 7738
rank48: similarity : 6.593548774719238, dataset_idx : 27204, path_idx : 7169
rank49: similarity : 6.590531349182129, dataset_idx : 55617, path_idx : 16629
