CONFIG : images : 5000, stage : 2, block : 0, dimension : 1581, top_k :50
rank0: similarity : 5.746763706207275, dataset_idx : 325, path_idx : 15872
rank1: similarity : 5.575745582580566, dataset_idx : 320, path_idx : 7276
rank2: similarity : 5.500994682312012, dataset_idx : 2976, path_idx : 5914
rank3: similarity : 5.268714904785156, dataset_idx : 3268, path_idx : 3664
rank4: similarity : 5.192394256591797, dataset_idx : 4014, path_idx : 10626
rank5: similarity : 5.172824859619141, dataset_idx : 775, path_idx : 8669
rank6: similarity : 5.1019062995910645, dataset_idx : 2583, path_idx : 14174
rank7: similarity : 5.096639633178711, dataset_idx : 597, path_idx : 4252
rank8: similarity : 5.084251403808594, dataset_idx : 2143, path_idx : 4264
rank9: similarity : 5.077821731567383, dataset_idx : 775, path_idx : 8789
rank10: similarity : 5.075483322143555, dataset_idx : 4809, path_idx : 11952
rank11: similarity : 5.07259464263916, dataset_idx : 166, path_idx : 13743
rank12: similarity : 5.015176296234131, dataset_idx : 1534, path_idx : 17104
rank13: similarity : 4.986179351806641, dataset_idx : 3268, path_idx : 6167
rank14: similarity : 4.902361869812012, dataset_idx : 3268, path_idx : 4144
rank15: similarity : 4.901830673217773, dataset_idx : 166, path_idx : 15428
rank16: similarity : 4.897839546203613, dataset_idx : 1245, path_idx : 8716
rank17: similarity : 4.896580219268799, dataset_idx : 4440, path_idx : 4759
rank18: similarity : 4.877392292022705, dataset_idx : 3034, path_idx : 11829
rank19: similarity : 4.837823867797852, dataset_idx : 3293, path_idx : 14819
rank20: similarity : 4.806559085845947, dataset_idx : 519, path_idx : 13623
rank21: similarity : 4.7893595695495605, dataset_idx : 2976, path_idx : 6406
rank22: similarity : 4.772636413574219, dataset_idx : 1245, path_idx : 8369
rank23: similarity : 4.754230499267578, dataset_idx : 1659, path_idx : 6159
rank24: similarity : 4.743239402770996, dataset_idx : 302, path_idx : 14368
rank25: similarity : 4.739943504333496, dataset_idx : 597, path_idx : 3411
rank26: similarity : 4.733691215515137, dataset_idx : 144, path_idx : 7117
rank27: similarity : 4.708707332611084, dataset_idx : 4703, path_idx : 8939
rank28: similarity : 4.679650783538818, dataset_idx : 302, path_idx : 13389
rank29: similarity : 4.637524127960205, dataset_idx : 4703, path_idx : 8831
rank30: similarity : 4.637035369873047, dataset_idx : 2596, path_idx : 10631
rank31: similarity : 4.6276469230651855, dataset_idx : 734, path_idx : 3643
rank32: similarity : 4.5824384689331055, dataset_idx : 748, path_idx : 13161
rank33: similarity : 4.5567626953125, dataset_idx : 3280, path_idx : 11694
rank34: similarity : 4.55361270904541, dataset_idx : 1873, path_idx : 8817
rank35: similarity : 4.550408363342285, dataset_idx : 4098, path_idx : 7519
rank36: similarity : 4.542399883270264, dataset_idx : 166, path_idx : 13744
rank37: similarity : 4.541996955871582, dataset_idx : 3268, path_idx : 4967
rank38: similarity : 4.539564609527588, dataset_idx : 1755, path_idx : 11464
rank39: similarity : 4.527144908905029, dataset_idx : 166, path_idx : 13731
rank40: similarity : 4.525916576385498, dataset_idx : 3883, path_idx : 2824
rank41: similarity : 4.512275218963623, dataset_idx : 4435, path_idx : 5322
rank42: similarity : 4.503916263580322, dataset_idx : 4942, path_idx : 3669
rank43: similarity : 4.497237205505371, dataset_idx : 320, path_idx : 7277
rank44: similarity : 4.490653038024902, dataset_idx : 166, path_idx : 15427
rank45: similarity : 4.488731384277344, dataset_idx : 4379, path_idx : 12796
rank46: similarity : 4.48009729385376, dataset_idx : 3268, path_idx : 4004
rank47: similarity : 4.472241401672363, dataset_idx : 4102, path_idx : 13884
rank48: similarity : 4.471449375152588, dataset_idx : 4703, path_idx : 8941
rank49: similarity : 4.4708709716796875, dataset_idx : 2934, path_idx : 13402
